 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80
time                 
1958.832876712 5.378727446 5.378727446 3.656405671 2.870976425 3.095010982 1.766876672 3.003093870 1.224658734 2.066991813 2.690590589 3.871728598 7.809918800 16.389313361 15.939547336 17.507138647 21.280036123 59.090369968
1958.915068493 6.121995976 6.121995976 4.010387849 3.147105964 3.472586981 1.977438109 3.098184319 1.396652828 2.312460317 3.032119536 4.464200707 9.040736511 20.070147661 17.911507085 21.077854183 25.851690086 69.503280765
1959.000000000 6.973069234 6.973069234 4.416102956 3.463839688 3.904969340 2.218805001 3.206405884 1.594447849 2.591683709 3.417153525 5.130852246 10.422315643 24.187102114 20.123207196 25.079212440 31.003669834 81.112323125
1959.084931507 7.914511655 7.914511655 4.865518489 3.815085355 4.383339227 2.486191396 3.325013611 1.814171740 2.897487094 3.833160524 5.849007201 11.904775941 28.575615311 22.493704490 29.360632782 36.568119233 93.461560087
1959.161643836 8.817172681 8.817172681 5.296990573 4.152664808 4.842072466 2.742934181 3.437781837 2.025951228 3.188042176 4.223371353 6.520713295 13.286306988 32.642576555 24.700111214 33.340328508 41.784770128 104.857868279
1959.246575342 9.858642879 9.858642879 5.795489810 4.543112486 5.371431947 3.039587694 3.566696931 2.271393111 3.519971070 4.662876289 7.274876380 14.830892248 37.157888110 27.163775712 37.776129469 47.657847921 117.467349611
1959.328767123 10.897362595 10.897362595 6.293476015 4.933664978 5.899491370 3.335971920 3.693881152 2.517564617 3.847162135 5.088681638 8.002641887 16.313568186 41.454588378 29.524759099 42.017893080 53.344496522 129.409889827
1959.413698630 11.986937277 11.986937277 6.816805586 5.344700076 6.453518570 3.647492842 3.825659513 2.777583815 4.185821681 5.520516972 8.737175694 17.800497309 45.718601823 31.887520858 46.252152883 59.107056286 141.183185969
1959.495890411 13.040158203 13.040158203 7.323770890 5.743579186 6.989186239 3.949334363 3.951064901 3.030800916 4.507689451 5.920214574 9.412697946 19.155958144 49.546559647 34.035585437 50.086648261 64.435824120 151.669496181
1959.580821918 14.101148344 14.101148344 7.835920109 6.147462488 7.528956787 4.254374579 4.074979022 3.288870433 4.825108440 6.300643532 10.049846330 20.418659875 53.036744194 36.028007576 53.625954431 69.499706507 161.097042562
1959.665753425 15.118129852 15.118129852 8.328183252 6.536550107 8.046459689 4.547712937 4.191259798 3.539070056 5.122328220 6.642691216 10.616488698 21.524306081 56.006855176 37.763857496 56.688068815 74.044211475 168.983785289
1959.747945205 16.046656637 16.046656637 8.778939160 6.893706933 8.519040937 4.816493492 4.295110038 3.770673014 5.387029243 6.933507945 11.091831531 22.433957748 58.361132390 39.182107966 59.169207354 77.898482267 175.080318621
1959.832876712 16.936612902 16.936612902 9.212295210 7.237997261 8.972040502 5.075151116 4.392152707 3.996338743 5.633476974 7.189081239 11.502065391 23.197891507 60.230561106 40.361386248 61.206995586 81.273525376 179.728176994
1959.915068493 17.721599897 17.721599897 9.595724705 7.543496709 9.371593575 5.304333493 4.475303184 4.199306027 5.843624134 7.391717039 11.819194584 23.765124756 61.496191421 41.223804370 62.668155670 83.935248445 182.645653895
1960.000000000 18.444983630 18.444983630 9.950095107 7.826696117 9.739669894 5.516573146 4.549726342 4.390891702 6.030421662 8.299999993 12.069132585 24.186721518 62.297705686 41.848630275 63.695988320 86.089585379 184.200103727
1960.084931507 19.054522555 19.054522555 10.249300981 8.066587864 10.049424549 5.696575988 4.609987201 4.558632564 6.179835705 10.973041064 12.232801689 24.429165060 62.564345234 42.186227000 64.206317941 87.570074994 184.239457230
